20:51:55:524,ets,Jul,29,2019,12:21:46
20:51:55:524,
20:51:55:529,rst:0x1,(POWERON_RESET),boot:0x13,(SPI_FAST_FLASH_BOOT)
20:51:55:531,configsip:,0,,SPIWP:0xee
20:51:55:538,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
20:51:55:540,mode:DIO,,clock,div:1
20:51:55:542,load:0x3fff0030,len:1184
20:51:55:544,load:0x40078000,len:13260
20:51:55:547,load:0x40080400,len:3028
20:51:55:548,entry,0x400805e4
20:52:01:691,0,0
20:52:01:716,43,10
20:52:01:741,0,10
20:52:01:766,0,10
20:52:01:792,0,10
20:52:01:816,0,0
20:52:01:841,0,0
20:52:01:866,0,0
20:52:01:891,0,0
20:52:01:916,0,0
20:52:01:942,0,0
20:52:01:966,43,10
20:52:01:993,0,10
20:52:02:016,0,10
20:52:02:041,0,10
20:52:02:067,50,12
20:52:02:091,0,12
20:52:02:116,0,12
20:52:02:141,0,12
20:52:02:165,0,0
20:52:02:190,0,0
20:52:02:216,0,0
20:52:02:241,0,0
20:52:02:266,0,0
20:52:02:291,0,0
20:52:02:317,0,0
20:52:02:341,0,0
20:52:02:367,0,0
20:52:02:390,0,0
20:52:02:416,0,0
20:52:02:442,80,20
20:52:02:466,0,20
20:52:02:491,0,20
20:52:02:516,0,20
20:52:02:541,0,0
20:52:02:567,0,0
20:52:02:590,0,0
20:52:02:615,0,0
20:52:02:640,0,0
20:52:02:668,0,0
20:52:02:690,0,0
20:52:02:716,0,0
20:52:02:740,0,0
20:52:02:765,0,0
20:52:02:790,0,0
20:52:02:816,0,0
20:52:02:841,0,0
20:52:02:867,0,0
20:52:02:891,96,24
20:52:02:917,0,24
20:52:02:942,950,261
20:52:02:966,442,372
20:52:02:991,0,348
20:52:03:017,1271,665
20:52:03:041,133,461
20:52:03:066,0,351
20:52:03:091,38,360
20:52:03:116,1,43
20:52:03:140,0,9
20:52:03:166,0,9
20:52:03:191,0,0
20:52:03:216,0,0
20:52:03:240,0,0
20:52:03:267,0,0
20:52:03:290,0,0
20:52:03:316,0,0
20:52:03:341,0,0
20:52:03:366,0,0
20:52:03:391,0,0
20:52:03:416,0,0
20:52:03:441,0,0
20:52:03:466,0,0
20:52:03:492,0,0
20:52:03:516,0,0
20:52:03:541,0,0
20:52:03:566,0,0
20:52:03:591,0,0
20:52:03:616,108,27
20:52:03:641,208,79
20:52:03:666,876,298
20:52:03:691,780,493
20:52:03:716,528,598
20:52:03:741,485,667
20:52:03:766,76,467
20:52:03:791,53,285
20:52:03:816,685,324
20:52:03:841,1533,586
20:52:03:866,449,680
20:52:03:891,9,669
20:52:03:916,35,506
20:52:03:941,0,123
20:52:03:966,0,11
20:52:03:990,2,9
20:52:04:015,0,0
20:52:04:041,0,0
20:52:04:065,0,0
20:52:04:091,0,0
20:52:04:115,0,0
20:52:04:140,0,0
20:52:04:166,10,2
20:52:04:191,34,11
20:52:04:216,0,11
20:52:04:240,0,11
20:52:04:266,0,8
20:52:04:290,0,0
20:52:04:316,0,0
20:52:04:341,0,0
20:52:04:366,239,59
20:52:04:391,0,59
20:52:04:416,389,157
20:52:04:441,633,315
20:52:04:466,934,489
20:52:04:491,336,573
20:52:04:517,139,510
20:52:04:541,445,463
20:52:04:567,50,242
20:52:04:591,1393,506
20:52:04:616,263,537
20:52:04:640,6,428
20:52:04:665,0,415
20:52:04:690,0,67
20:52:04:715,0,1
20:52:04:740,0,0
20:52:04:766,3,0
20:52:04:790,5,2
20:52:04:815,0,2
20:52:04:840,28,9
20:52:04:865,0,8
20:52:04:890,82,27
20:52:04:916,0,27
20:52:04:940,6,22
20:52:04:965,0,22
20:52:04:990,16,5
20:52:05:016,0,5
20:52:05:040,0,4
20:52:05:067,0,4
20:52:05:091,96,24
20:52:05:116,336,108
20:52:05:141,848,320
20:52:05:166,861,535
20:52:05:191,178,555
20:52:05:216,885,693
20:52:05:242,1632,889
20:52:05:267,1008,925
20:52:05:291,375,975
20:52:05:316,290,826
20:52:05:342,298,492
20:52:05:367,6,242
20:52:05:391,14,152
20:52:05:416,1,79
20:52:05:442,10,7
20:52:05:466,32,14
20:52:05:492,0,10
20:52:05:517,0,10
20:52:05:541,0,8
20:52:05:566,0,0
20:52:05:591,51,12
20:52:05:617,0,12
20:52:05:642,0,12
20:52:05:666,0,12
20:52:05:691,0,0
20:52:05:717,0,0
20:52:05:741,0,0
20:52:05:766,0,0
20:52:05:791,0,0
20:52:05:817,0,0
20:52:05:841,0,0
20:52:05:866,0,0
20:52:05:890,0,0
20:52:05:917,0,0
20:52:05:941,0,0
20:52:05:966,0,0
20:52:05:992,0,0
20:52:06:016,0,0
20:52:06:041,0,0
20:52:06:066,0,0
20:52:06:092,0,0
20:52:06:116,0,0
20:52:06:142,0,0
20:52:06:167,0,0
20:52:06:191,0,0
20:52:06:217,0,0
20:52:06:241,11,2
20:52:06:266,0,2
20:52:06:291,0,2
20:52:06:317,0,2
20:52:06:341,0,0
20:52:06:366,0,0
20:52:06:391,0,0
20:52:06:416,0,0
20:52:06:441,0,0
20:52:06:466,0,0
20:52:06:490,0,0
20:52:06:516,0,0
20:52:06:541,0,0
20:52:06:567,54,13
20:52:06:592,39,23
20:52:06:617,0,23
20:52:06:641,0,23
20:52:06:667,0,9
20:52:06:690,0,0
20:52:06:716,0,0
20:52:06:741,0,0
20:52:06:766,0,0
20:52:06:792,15,3
20:52:06:817,0,3
20:52:06:842,0,3
20:52:06:866,0,3
20:52:06:891,0,0
20:52:06:917,0,0
20:52:06:941,0,0
20:52:06:966,0,0
20:52:06:991,0,0
20:52:07:015,0,0
20:52:07:040,2,0
20:52:07:066,0,0
20:52:07:091,0,0
20:52:07:117,0,0
20:52:07:141,21,5
20:52:07:167,0,5
20:52:07:191,0,5
20:52:07:216,0,5
20:52:07:241,0,0
20:52:07:266,0,0
20:52:07:290,32,8
20:52:07:315,0,8
20:52:07:341,0,8
20:52:07:366,0,8
20:52:07:391,0,0
20:52:07:416,0,0
20:52:07:441,0,0
20:52:07:467,0,0
20:52:07:492,0,0
20:52:07:516,0,0
20:52:07:541,0,0
20:52:07:566,0,0
20:52:07:591,0,0
20:52:07:617,4,1
20:52:07:641,0,1
20:52:07:666,0,1
20:52:07:691,0,1
20:52:07:716,0,0
20:52:07:741,0,0
20:52:07:766,0,0
20:52:07:792,16,4
20:52:07:816,0,4
20:52:07:841,0,4
20:52:07:865,0,4
20:52:07:890,48,12
20:52:07:915,0,12
20:52:07:940,79,31
20:52:07:965,0,31
20:52:07:990,0,19
20:52:08:015,0,19
20:52:08:041,23,5
20:52:08:065,0,5
20:52:08:090,0,5
20:52:08:115,0,5
20:52:08:141,0,0
20:52:08:167,0,0
20:52:08:192,0,0
20:52:08:216,0,0
20:52:08:242,0,0
20:52:08:266,0,0
20:52:08:291,0,0
20:52:08:317,0,0
20:52:08:342,4,1
20:52:08:366,6,2
20:52:08:392,0,2
20:52:08:417,0,2
